,Bench,N Edges,Visited Edges,DT - MESH - YOTO - 6,E > 0 - MESH - YOTO- 6,DT - MESH - YOTT - 7,E > 0 - MESH - YOTT- 7,DT - ONE_HOP - YOTO - 6,E > 0 - ONE_HOP - YOTO- 6,DT - ONE_HOP - YOTT - 7,E > 0 - ONE_HOP - YOTT- 7,DT - MESH - YOTT - 70,E > 0 - MESH - YOTT- 70,DT - ONE_HOP - YOTO - 60,E > 0 - ONE_HOP - YOTO- 60,DT - ONE_HOP - YOTT - 70,E > 0 - ONE_HOP - YOTT- 70
0,cosine2,93,82,30,19,39,19,10,7,23,17,26,20,10,7,13,10
1,my_graph,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,arf,30,27,3,3,4,4,0,0,1,1,0,0,0,0,0,0
3,ewf,82,68,5,5,12,8,3,2,1,1,7,5,1,1,1,1
4,jpeg_fdct_islow,254,216,117,30,102,41,39,22,37,23,80,41,37,23,26,23
5,idctcol,348,297,117,35,107,61,49,29,40,25,86,54,30,19,28,22
6,simple,17,15,3,2,3,2,1,1,1,1,1,1,0,0,0,0
7,t,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,fir2,39,39,6,6,6,6,2,2,3,3,6,6,0,0,0,0
9,FilterRGB,97,83,10,8,11,8,2,2,5,5,9,9,1,1,2,2
10,matmul,124,115,42,19,41,21,14,10,15,11,24,19,9,8,15,11
11,invert_matrix,390,367,176,65,200,74,88,42,105,56,176,70,73,41,82,45
12,Fir16,91,76,8,6,15,11,6,6,4,3,10,7,2,2,1,1
13,horner_bs,16,16,1,1,1,1,0,0,0,0,0,0,0,0,0,0
14,k4n4op,74,58,22,11,22,11,5,5,7,7,13,10,3,3,6,6
15,fir1,43,43,18,10,9,8,4,4,5,5,9,8,1,1,4,4
16,mults1,27,23,4,3,3,3,0,0,0,0,0,0,0,0,0,0
17,mac,11,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,h2v2_smooth,65,61,21,11,24,11,8,6,6,4,12,10,5,4,6,4
19,jpeg_idct_ifast,346,302,146,44,158,61,69,30,51,30,62,47,40,28,32,25
20,Cplx8,91,76,10,6,12,9,5,4,8,7,7,7,3,2,2,1
21,conv3,32,29,2,2,4,4,0,0,1,1,2,2,0,0,0,0
